peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Rhob	677.065020238281	2.7387016644351	0.188229262536875	2.17485082610514e-49	1.16219885574056e-47
Pip5k1a	766.064209322647	1.96139382083378	0.13523282071122	2.21137472562959e-49	1.17611597966897e-47
Tnfaip8	1307.02047737589	1.78243186344365	0.123066008650346	3.5714890060181e-49	1.89053064271392e-47
C5ar1	3761.43292305346	1.69584828155001	0.117121781210248	4.60942947734547e-49	2.42849847862774e-47
Eaf1	1183.06344510394	1.58594163344535	0.109974252935501	1.49056939322394e-48	7.81643445362571e-47
Zfp131	693.04648107211	2.05362546984425	0.142987201599435	1.75107485142333e-48	9.13979627101052e-47
Igsf6	2858.89599987524	2.11057680493531	0.147223781409319	2.67085748687456e-48	1.38760938507899e-46
Abcd2	522.41532109502	-3.3288211523656	0.232870250911143	3.00795146728786e-48	1.5555406159403e-46
Dnaja2	2424.30794822775	1.82927159365684	0.127791041793765	3.81512534786011e-48	1.96391452539845e-46
Sgms1	1192.7769371957	2.44491899030808	0.170921522221925	6.46871392336476e-48	3.3146989793607e-46
Nod2	352.065511876332	3.31098532974838	0.233030071422381	1.09043073798993e-47	5.56218806441953e-46
Glrx	471.968289178393	2.21897579989307	0.156522905825758	2.94807078388574e-47	1.49697965324732e-45
Atp6v1e1	2009.69420456698	1.85320055185781	0.130891734296324	3.46073553225481e-47	1.74938622265601e-45
Slc31a2	784.943079963278	1.97569290865543	0.139635302013697	3.65555907414946e-47	1.83958223901817e-45
Mefv	2268.4232181633	3.12906956023742	0.221068562330753	3.81088130483388e-47	1.90521059077967e-45
Gtpbp4	1412.09195382378	2.39099734400092	0.168673921338918	3.81992855930695e-47	1.90521059077967e-45
Il12b	851.970818198696	10.2663582012473	0.724474293558541	4.1127784798905e-47	2.04219469474917e-45
Rab12	784.211517226674	1.60393886432849	0.113176838839853	5.03718846309224e-47	2.49019070188639e-45
Nop56	735.591600997647	2.08395953271054	0.148194134963367	1.29384462097781e-46	6.36821242833903e-45
Cct3	1276.26045068344	1.3841146503549	0.0977697906557912	1.36034486423046e-46	6.66628387178788e-45
Wdr43	1037.67840571163	1.91716601880557	0.13701186906362	3.40065628746851e-46	1.65922455904224e-44
Stk40	460.736287085209	3.13113097917534	0.225615261168921	1.84514633698465e-45	8.96373688036439e-44
Klhl24	611.223584921302	-2.6007184716773	0.187034396715695	2.11500862457371e-45	1.02304425797268e-43
Eif1a	2182.19047308671	2.25218242765502	0.162647489507346	3.18939285209562e-45	1.53611015391489e-43
Mtdh	6864.69089702198	2.63783426836922	0.190270725223171	3.82735932112976e-45	1.83549685050078e-43
Slc43a2	2149.79720584356	-1.77166322548063	0.128318083967499	5.51253349391338e-45	2.63241067526366e-43
Nfam1	672.529857594445	-2.66246857769886	0.192605166033699	6.7253556624127e-45	3.19796361201675e-43
Ifrd1	349.523393354894	2.30434288493972	0.167018361387276	6.87014075513035e-45	3.25302614152206e-43
Batf	135.000774544155	5.64553277065719	0.410022732722493	6.91850541435919e-45	3.2621625109218e-43
Rcl1	135.150763531917	3.20605601945638	0.234207177611044	2.10404154999652e-44	9.87931141174098e-43
Phtf2	286.546798077585	2.48271894219393	0.181225479148537	3.30884932902278e-44	1.54716279876223e-42
Ddx21	1464.23187502746	1.17999045483558	0.0854107193833951	3.33686558643927e-44	1.55378861456521e-42
Cish	265.377503719777	8.26391433758538	0.600410560680284	3.40676613055312e-44	1.57978221144905e-42
Rnf145	665.879133286919	1.94269164419267	0.142279624482307	3.71869304768369e-44	1.71733223790561e-42
Ppfibp1	1876.67308722817	2.08302172033851	0.152872884181936	5.61639788902071e-44	2.58308266846682e-42
Nop58	834.998553722913	2.63046900247158	0.192838336876842	8.25549929175055e-44	3.78135563477652e-42
Ubtd2	207.971933607758	2.94384985741779	0.217212452725014	2.31862682438082e-43	1.0577085456586e-41
Rnf103	1145.52061133373	2.18334779012007	0.16193823369591	4.34842227458895e-43	1.97562731843875e-41
Fos	316.884741095994	-4.58957639442676	0.345510814089762	5.19755404060695e-43	2.35189320337464e-41
Cpd	4459.71068096406	2.83583742477201	0.210660022686507	9.00929815017005e-43	4.06033509402443e-41
Tiparp	2723.07149116154	4.17335745798865	0.315751851349209	1.15176789476294e-42	5.1700557260119e-41
Fam20c	2211.09462719724	2.44327855637631	0.182067770091852	1.4308137092461e-42	6.39704838452579e-41
Cd200r1	457.623934859004	-2.32736121033007	0.173711111918704	1.64956684991011e-42	7.34580920225842e-41
Nupr1	426.954604226857	3.30590065676886	0.248030424120266	2.12926990268976e-42	9.444532350982e-41
Eif4a1	4976.61721722943	1.41160576457374	0.105085985352346	2.81765108528678e-42	1.24486931020033e-40
Lcp1	26209.6125799364	1.11898146687318	0.0829032615571663	3.16052021841291e-42	1.39087678004038e-40
Gpr132	302.846725987549	1.96378377273835	0.147859589887614	5.75082671237438e-42	2.52092880336974e-40
Mapkbp1	348.437398524069	2.56911126483872	0.193009830087755	6.93214925966257e-42	3.02694859890791e-40
Nmd3	422.460997214973	2.0202975593468	0.152467624089807	8.67543886082382e-42	3.77347964713817e-40
Wipf1	1166.11232973109	-1.94000089451793	0.14642505236752	8.91724266036674e-42	3.8636794260477e-40
Ube2f	669.618139324356	1.6962210236213	0.127854533871096	1.02142099861533e-41	4.40861017171586e-40
Ptpre	1235.43631400038	2.0281710947107	0.1538082024617	2.04396736167235e-41	8.78827652593377e-40
Ccdc71l	1198.66567847661	1.87962855245797	0.142565985574052	2.20208309240046e-41	9.43197574920535e-40
Dlc1	259.05245478347	3.44700104704713	0.263904049540428	4.84212426124664e-41	2.06609575892433e-39
Pfkfb3	1960.69451974378	3.81885021759778	0.294905487042949	7.22704567320801e-41	3.07204191457349e-39
Metap1	402.281633761685	1.66669598066737	0.127153338969935	9.12105534419634e-41	3.86250879519137e-39
Rasgef1b	1146.54970038729	2.62519189129193	0.20052432906003	1.30145839336495e-40	5.49058875576745e-39
Mapk6	1957.42085481119	2.77192604919325	0.212065121665552	1.69809077238046e-40	7.13706915642452e-39
Map3k8	924.829477322195	2.30638095548478	0.177013018779519	2.13124996293191e-40	8.92421159851562e-39
Mllt6	951.358023188989	2.85423368008485	0.218736794820069	2.15335943567968e-40	8.98327122200645e-39
