peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Pi4ka	370.817853635655	0.581264618774996	0.12778314548775	8.67616720838082e-08	4.57298420109854e-06
Oxr1	614.835641633942	0.37747901324054	0.0772921551810798	9.46815617659223e-08	4.96872369788992e-06
Rpl12	950.946347163892	0.450118426560028	0.0942968431452848	9.73729202795122e-08	5.08784046655287e-06
Rps23	2132.41289341186	0.357603355441102	0.0732500951732577	1.04407319798154e-07	5.42269961723677e-06
Dock5	492.162308275693	-0.644512746176086	0.145533782729421	1.05578658662025e-07	5.42269961723677e-06
Ddx60	561.426789080658	-1.10592988401246	0.242294660749069	1.04935105622139e-07	5.42269961723677e-06
Ccl9	27964.9346932086	-0.339959127314406	0.0694815570873231	1.05339017385192e-07	5.42269961723677e-06
Xdh	1480.06780595461	-0.487382839751688	0.104473465461761	1.15650963180312e-07	5.91486070163712e-06
Ccr2	3383.53958949576	0.489284024917881	0.105070339141563	1.18155822235266e-07	6.01747162185509e-06
Tnfrsf11a	860.260292002095	-0.566173347170678	0.125794421924168	1.22172583559595e-07	6.19589530909376e-06
Ncf4	413.727250223837	-0.546288049686795	0.120959969013804	1.34180579112308e-07	6.77639995768017e-06
Itgb3	47.8232519671116	1.54899394264157	0.337708785576253	1.35086028129743e-07	6.79370149802502e-06
Cmtm4	166.258132833905	1.09381905331518	0.2442941468448	1.48069632937953e-07	7.41576958324104e-06
Pilrb1	148.533613652926	-0.777321997174963	0.180224350658144	1.51605341478572e-07	7.56147302333209e-06
Ivns1abp	607.053779882224	0.428506836279414	0.0910736753800559	1.60210321824889e-07	7.95777195237208e-06
Anxa2r1	356.894382376674	-0.870466425237109	0.201307835222361	1.69603959865526e-07	8.38983522777417e-06
Ifrd1	349.523393354894	-0.637701098280789	0.147544445378557	1.78109084822177e-07	8.77459858695377e-06
Cacng8	23.8506117184927	-2.32811214352792	0.556926799877662	1.85217864321626e-07	9.08772204212204e-06
Slco2b1	94.6258186858375	2.40925664916852	0.582639499792817	1.90337359435067e-07	9.30110092462047e-06
Cd83	18.061758803208	-3.80959537334046	0.9155939551798	2.00495696320113e-07	9.75799618783778e-06
Nceh1	1766.39473154137	-0.611717657426689	0.142531140058522	2.33050071844434e-07	1.12968448480415e-05
Zbtb4	45.2154546985543	1.03363827717785	0.239478217765387	2.55251320351137e-07	1.23235337465529e-05
Cfb	58.7885422397484	-1.80634354546307	0.415090550330035	2.71888205908117e-07	1.30744647223545e-05
Twf1	847.207499301417	0.374863288069441	0.0804832724479838	2.79170355470855e-07	1.33713737719572e-05
Vrk2	305.827560360827	-0.558615426526579	0.130662526620358	3.59547668394068e-07	1.71531239427526e-05
Rilpl2	390.620358856143	-0.465144263963178	0.104318216093733	3.61842376013319e-07	1.71946357420502e-05
Abcd3	422.162572730237	-0.803068334250589	0.195116459262471	3.69924825019514e-07	1.75097750509237e-05
Rpl32	1184.23507670207	0.477572979070049	0.107851836983437	3.71495783860994e-07	1.75154457468836e-05
Slc7a11	2219.65852890791	-1.18018616416432	0.275857781905589	3.79733828854141e-07	1.76964761168706e-05
Hmgb3	25.9677003674944	1.56268742341575	0.361260240975566	3.77190131505933e-07	1.76964761168706e-05
Gbp6	1065.54810230761	-1.03787910643359	0.245961839218728	3.79387984629082e-07	1.76964761168706e-05
Tnfsf12	32.3244077155214	1.33241564099357	0.30944637188234	3.95165080543021e-07	1.83447789313625e-05
5730409E04Rik	2.98523085973769	-5.8296232671266	1.3446351720948	3.98647599095323e-07	1.84355422263622e-05
Clec4e	16547.5762742175	-0.67468067885459	0.164081299159263	4.002386745603e-07	1.84384763432932e-05
Padi2	47.280498199909	0.875585587349946	0.2124184110289	4.04328262317863e-07	1.85224372700481e-05
Cebpa	109.622937916009	0.803812167644256	0.196309288354239	4.0513035951058e-07	1.85224372700481e-05
Slc6a12	132.008497908572	-1.09261840159195	0.258635036283633	4.10642005268419e-07	1.87035811456219e-05
