Symbol	KO_L_C01_REP1	KO_L_C01_REP2	KO_L_C01_REP3	KO_L_C24_REP1	KO_L_C24_REP3	KO_N_C01_REP1	KO_N_C01_REP2	KO_N_C01_REP3	KO_N_C24_REP1	KO_N_C24_REP3	WT_L_C00_REP1	WT_L_C00_REP2	WT_N_C00_REP1	WT_N_C00_REP2	WT_N_C00_REP3
Zkscan16	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.2482574986802
Zkscan14	4.43498109850864	3.75658817983169	4.11841401542589	4.06131764076795	4.25575619886658	5.89141585043945	5.69429985049697	5.71415628656323	5.56359442635152	5.3010527148806	4.05296505537546	3.47500435742811	5.57051672409943	5.52687022379252	5.58594081547194
Zkscan1	7.72046084768391	7.64745397324388	7.54615368447406	7.78308117297253	7.33841617993734	8.25476356266455	7.90596650064	8.05596394978143	8.11613527176307	7.9227747534023	7.41455171178762	7.13760005522147	8.14336568918017	8.09158779720103	7.94790649651085
Zik1	2.60074460672912	1.63628512020582	2.81552725995967	3.64139217831758	2.67254783046388	4.30420892794066	3.45505619731903	4.38006771489871	4.28404742477097	4.05256603064527	3.13253906726493	3.16828509360519	3.2303595199138	3.82851959222287	3.37823721022268
Zic4	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.67254783046388	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zic2	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.31643773304159	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zic1	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.5020728271906	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zhx3	4.22311545125902	3.75658817983169	4.59154963755422	4.63962392834528	4.11928989938131	4.91705736175187	4.63409038742297	5.01298000005082	5.1060334164157	4.94035777009397	4.34768722223846	4.75598906839338	5.00148243728582	5.32602657540764	5.07693063465906
Zhx2	9.48874720395219	9.23653083550945	9.4189511149956	9.45479753628182	9.34953425054046	4.82377120551221	5.02975081445037	4.76607858578056	5.14694910627294	5.25793023307381	8.85486209729688	8.91096446459675	5.0432688751436	4.86722064707441	4.92188699841818
Zhx1	9.94847142489218	9.88845023101235	9.94544382551809	9.7541663437354	10.2041790373085	9.39042111192854	9.24283770079272	9.50459848047259	9.24026852281444	9.50387474362206	9.96608409853916	9.80878930288319	9.03180997599818	9.14036917289702	9.10812194462929
